
Season, Episode, Title, Written_By, Director, Bechdel-Wallace, Context, Director_Gender, Writer_Gender
1,1,Emissary,"Rick Berman & Michael Piller","David Carson",Pass,"Dax and Nerys talked about neutrino disturbance being the wormhole",Male,Male
1,2,"A Man Alone","Gerald Sanford & Michael Piller","Paul Lynch",Fail,Null,Male,Male
1,3,"Past Prologue","Katharyn Powers",Winrich Kolbe,Fail,"Nerys talks to Admiral about Sisko",Male,Female
1,4,Babel,"Sally Caves & Ira Steven Behr","Paul Lynch",Fail,"Nerys talks to Bajoran minister Galis about male prisoner",Male,Female
1,5,Captive Pursuit,"Jill Sherman Donner",Corey Allen,Fail,Null,Male,Female
1,6,"Q-Less","Hannah Louise Shearer","Paul Lynch",Fail,Null,Male,Female
1,7,Dax,"Peter Allan Fields","David Carson",Fail,"female characters talked about male Trill host",Male,Male
1,8,"The Passenger","Morgan Gendel","Paul Lynch",Fail,"female characters talk about male prisoner",Male,Male
1,9,"Move Along Home","Michael Piller","David Carson",Fail,Null,Male,Male
1,10,Nagus,"David Livingston","David Livingston",Fail,Null,Male,Male
1,11,Vortex,"Sam Rolfe",Winrich Kolbe,Fail,Null,Male,Male
1,12,"Battle Lines",Hilary Bader,"Paul Lynch",Pass,"Nerys talks with Kai Opaka about her character",Male,Female
1,13,"The Storyteller","Kurt Michael Bensmiller","David Livingston",Fail,Null,Male,Male
1,14,Progress,"Peter Allan Fields",Les Landau,Fail,"Dax & Nerys talk about male Morn character initially then sensor readings",Male,Male
1,15,"If Wishes Were Horses","Nell & William Crawford",Robert Legato,Fail,Null,Male,Male
1,16,The Forsaken,"Jim Trombetta",Les Landau,Fail,Null,Male,Male
1,17,"Dramatis Personae",Joe Menosky,Cliff Bole,Fail,"Dax & Nerys talk about males Quark & Sisko",Male,Male
1,18,Duet,"Lisa Rich & Jeanne Carrigan-Fauci","Jame L. Conway",Fail,"Dax & Nerys talk about male Cardassian prisoner",Male,Female + Female
1,19,"In the Hands of Prophets","Robert Hewitt Wolfe","David Livingston",Pass,"Keiko, Nerys & Kai Winn talk about the Bajoran prophets & education",Male,Male


2,1,"The Homecoming","Jeri Taylor & Ira Steven Behr",Winrich Kolbe,Fail,Null,Male,Female
2,2,"The Circle","Peter Allan Fields",Corey Allen,Pass,"Dax & Nerys briefly talk about skin lotion",Male,Male
2,3,"The Siege","Michael Piller",Winrich Kolbe,Pass,"Dax & Nerys talk about Bajoran spiders & spacecraft",Male,Male
2,4,"Invasive Procedures",John Whelpley,Les Landau,Fail,"Nerys talks with female character about male Trill character taking Dax hostage",Male,Male
2,5,Cardassians,"Gene Wolande & John Wright",Cliff Bole,Fail,Null,Male,Male
2,6,Melora,"Evan Carlos Somers",Winrich Kolbe,Fail,"Dax & Ensign Melora talk about relationships & Dr. Bashir",Male,Male
2,7,"Rules of Acquisition","Hillary Bader","David Livingston",Fail,"1) Dax & Nerys talk about Grand Nagus Zek giving Nerys jewellery. 2) Ferengi Pel & Dax talk about Quark",Male,Female
2,8,"Necessary Evil","Peter Allan Fields","James L. Conway",Fail,Null,Male,Male
2,9,Second Sight,"Mark Gehred-O'Connell",Alexander Singer,Fail,Null,Male,Male
2,10,Sanctuary,"Gabe Essoe & Kelley Miles",Les Landau,Pass,"1) Nerys talks to Skreean female about fate of people. 2) Nerys & Skreean female talk about males and fashion",Male,Female + Male
2,11,Rivals,"Jim Trombetta & Michael Piller",David Livingston,Pass,"1) & 2) Dax & Nerys briefly talk about station's random accidents/ luck",Male,Male
2,12,"The Alternate","Jim Trombetta & Bill Dial",David Carson,Fail,Null,Male,Male
2,13,"The Armageddon Game",Morgan Gendel,Winrich Kolbe,Fail,"Dax & Nerys talk about Dr. Bashir",Male,Male
2,14,Whispers,"Paul Robert Coyle",Les Landau,Fail,Null,Male,Male
2,15,Paradise,"Jim Trombetta & James Crocker",Corey Allen,Fail,"1) Nerys & Dax talk about men Admiral Mitsuya & Sisko. 2) Dax & Nerys talk about tactical skills. 3) Dax & Nerys talk about Sisko & O'Brien and tactical maneuvers",Male,Male
2,16,"Shadow Play","Robert Hewitt Wolfe",Robert Scheerer,Fail,Null,Male,Male
2,17,"Playing God",Jim Trombetta,David Livingston,Fail,Null,Male,Male
2,18,"Profit and Loss","Flip Kobler & Cindy Marcus",Robert Wiemer,Fail,Null,Male,Female + Male
2,19,"Blood Oath","Peter Allan Fields",Winrich Kolbe,Fail,"Dax & Kira talk about killing Cardassians & Klingon  male with male Klingon crew",Male,Male
2,20,"The Maquis: Part 1","Rick Berman, Michael Piller, Jeri Taylor & James Crocker","David Livingston",Fail,"Dax & Nerys talk about Dax's date with male Galamite",Male,"Female (+ men)"
2,21,"The Maquis: Part 2","Rick Berman, Michael Piller, Jeri Taylor & James Crocker",Corey Allen,Fail,Null,Male,"Female (+ men)"
2,22,"The Wire","Robert Hewitt Wolfe",Kim Friedman,Fail,Null,Female,Male
2,23,Crossover,"Peter Allan Fields",David Livingston,Fail,"Kira Nerys talks with mirror-universe Lt. Nerys",Male,Male
2,24,"The Collaborator",Gary Holland,Cliff Bole,Fail,"1) Nerys & Kai Winn talk about Winn's visit to station. 2) Nerys & Winn talk about male Vedek Bareil (longer conversation). 3) Nerys & Winn talk about Bareil again",Male,Male
2,25,Tribunal,Bill Dial,Avery Brooks,Fail,"Keiko talks about husband with Cardassian judge",Male,Male
2,26,"The Jem'Hadar","Ira Steven Behr",Kim Friedman,Pass,"Dax & Nerys briefly talk about station operations",Female,Male


3,1,"The Search: Part 1","Ira Steven Behr & Robert Hewitt Wolfe",Kim Friedman,Fail,Null,Female,Male
3,2,"The Search: Part 2","Ira Steven Behr & Robert Hewitt Wolfe",Jonathan Frakes,Pass,"Nerys and female Founder talk about planet and history of humanoids",Male,Male
3,3,"The House of Quark",Tom Benko,Les Landau,Fail,Null,Male,Male
3,4,Equilibrium,Christopher Teague,Cliff Bole,Fail,"Dax & Nerys talk about Sisko alleged cheating at game of chess",Male,Male
3,5,"Second Skin","Robert Hewitt Wolfe",Les Landau,Pass,"1) Dax & Nerys briefly talk about holosuite program. 2) Nerys talks to Bajoran Minister about alleged imprisonment",Male,Male
3,6,"The Abandoned","D. Thomas Maio & Steve Warnek",Avery Brooks,Fail,Null,Male,Male
3,7,"Civil Defense",Mike Krohn,Reza Badiyi,Fail,Null,Male,Male
3,8,Meridian,"Hilary Bader & Evan Carlos Somers",Jonathan Frakes,Fail,Null,Male,Female + Male
3,9,Defiant,Ronald D. Moore,Cliff Bole,Fail,"Dax & Nerys talk about Will Riker",Male,Male
3,10,Fascination,"Ira Steven Behr & James Crocker",Avery Brooks,Fail,Null,Male,Male
3,11,"Past Tense: Part 1","Ira Steven Behr & Robert Hewitt Wolfe",Reza Badiyi,Fail,Null,Male,Male
3,12,"Past Tense: Part 2","Ira Steven Behr & Robert Hewitt Wolfe",Jonathon Frakes,Fail,Null,Male,Male
3,13,"Life Support","Christian Ford & Roger Soffer",Reza Badiyi,Fail,"Nerys & Kai Winn talk about Vedek Bareil dying",Male,Male
3,14,"Heart of Stone","Ira Steven Behr & Robert Hewitt Wolfe",Alexander Singer,Fail,Null,Male,Male
3,15,Destiny,"David S. Cohen & Martin A. Winer",Les Landau,Pass,"1) Nerys & 2 Cardassian scientists talk about research study. 2) Dax asks the 2 scientists about project details 3) Dax & Cardassians talk about food",Male,Male
3,16,"Prophet Motive","Ira Steven Behr & Robert Hewitt Wolfe",Rene Auberjonois,Fail,Null,Male,Male
3,17,Visionary,"Ethan H. Calk",Reza Badiyi,Fail,"Nerys and Romulan officer talk about Odo being security risk",Male,Male
3,18,"Distant Voices","Joe Menosky",Alexander Singer,Fail,Null,Male,Male
